,start station name,number_of_customers
0,Central Park S & 6 Ave,75156
1,Grand Army Plaza & Central Park S,62366
2,5 Ave & E 88 St,55971
3,12 Ave & W 40 St,53992
4,Centre St & Chambers St,51678
5,5 Ave & E 73 St,46096
6,Central Park West & W 72 St,45083
7,West St & Chambers St,44089
8,Pier 40 - Hudson River Park,42510
9,Broadway & W 60 St,41040
10,5 Ave & E 78 St,36497
11,Central Park North & Adam Clayton Powell Blvd,34802
12,South End Ave & Liberty St,32969
13,Old Fulton St,32524
14,Central Park West & W 68 St,32475
15,Central Park West & W 76 St,32429
16,Washington St & Gansevoort St,31195
17,W 34 St & 11 Ave,29827
18,7 Ave & Central Park South,28867
19,Central Park West & W 85 St,28292
20,Little West St & 1 Pl,28267
21,W 20 St & 11 Ave,27504
22,S 5 Pl & S 5 St,26844
23,Broadway & W 25 St,23972
24,Vesey Pl & River Terrace,22670
25,Central Park W & W 96 St,22601
26,South St & Gouverneur Ln,22519
27,Kent Ave & N 7 St,22497
28,Pershing Square North,22053
29,5 Ave & E 63 St,21831
30,W 15 St & 10 Ave,21333
31,Christopher St & Greenwich St,21287
32,Cleveland Pl & Spring St,20954
33,E 17 St & Broadway,20919
34,Lenox Ave & W 111 St,20577
35,Broadway & W 49 St,20111
36,Carmine St & 6 Ave,19714
37,FDR Drive & E 35 St,19374
38,8 Ave & W 33 St,19000
39,West Drive & Prospect Park West,18468
40,Bus Slip & State St,18347
41,Broadway & E 14 St,18313
42,Front St & Washington St,18163
43,Grand St & Elizabeth St,17743
44,11 Ave & W 27 St,17734
45,Central Park West & W 100 St,17660
46,Cadman Plaza E & Red Cross Pl,17133
47,Broadway & Battery Pl,16937
48,6 Ave & W 33 St,16916
49,South St & Whitehall St,16878
50,Broadway & E 22 St,16811
51,Gansevoort St & Hudson St,16560
52,Fulton St & Broadway,16408
53,W 4 St & 7 Ave S,16357
54,S 4 St & Wythe Ave,15683
55,8 Ave & W 31 St,15563
56,W 45 St & 8 Ave,15490
57,W 16 St & The High Line,15463
58,5 Ave & E 93 St,15386
59,Broadway & W 56 St,15343
60,Broadway & W 41 St,15342
61,Lafayette St & E 8 St,15128
62,W 52 St & 11 Ave,15062
63,Peck Slip & Front St,15038
64,Broadway & W 29 St,15017
65,11 Ave & W 41 St,14968
66,W 33 St & 7 Ave,14964
67,Allen St & Stanton St,14726
68,Atlantic Ave & Furman St,14576
69,E 10 St & Avenue A,14489
70,Columbus Ave & W 72 St,14416
71,W 38 St & 8 Ave,14344
72,8 Ave & W 52 St,14335
73,9 Ave & W 45 St,14264
74,Forsyth St & Canal St,14137
75,Sullivan St & Washington Sq,13976
76,W 46 St & 11 Ave,13958
77,Mott St & Prince St,13900
78,MacDougal St & Prince St,13769
79,5 Ave & E 103 St,13713
80,W 41 St & 8 Ave,13668
81,Metropolitan Ave & Bedford Ave,13636
82,W 22 St & 10 Ave,13450
83,E 48 St & 5 Ave,13302
84,W 21 St & 6 Ave,13248
85,Madison Ave & E 82 St,13148
86,W 63 St & Broadway,13138
87,Mercer St & Spring St,13130
88,Lafayette St & Jersey St,13076
89,Riverside Blvd & W 67 St,13073
90,Soissons Landing,12949
91,Liberty St & Broadway,12831
92,Cooper Square & Astor Pl,12816
93,University Pl & E 14 St,12805
94,Grand Army Plaza & Plaza St West,12703
