usertype,usertype_count,month,usertype_count_combined,group_in_month_ratio
Customer,372844,June,2125370,0.1754254553324833
Subscriber,1752526,June,2125370,0.8245745446675167
Customer,378009,July,2181064,0.17331403388437935
Subscriber,1803055,July,2181064,0.8266859661156206
Customer,443865,August,2344224,0.18934410704779064
Subscriber,1900359,August,2344224,0.8106558929522093
Customer,434407,September,2444900,0.17767884167041598
Subscriber,2010493,September,2444900,0.8223211583295841
Customer,295753,October,2092573,0.1413346153276373
Subscriber,1796820,October,2092573,0.8586653846723626
Customer,152492,November,1478708,0.10312516061318394
Subscriber,1326216,November,1478708,0.896874839386816
Customer,77625,December,955210,0.08126485275489159
Subscriber,877585,December,955210,0.9187351472451084
Customer,94777,January,1240596,0.07639634498257289
Subscriber,1145819,January,1240596,0.9236036550174271
Customer,91903,February,1146830,0.08013655031696067
Subscriber,1054927,February,1146830,0.9198634496830393
Customer,154389,March,1068457,0.1444971580512833
Subscriber,914068,March,1068457,0.8555028419487167
Customer,166267,April,682762,0.2435211684305805
Subscriber,516495,April,682762,0.7564788315694195
Customer,475831,May,1487890,0.3198025391662018
Subscriber,1012059,May,1487890,0.6801974608337982
