bikeid,number_of_trips
34187,5360
33877,5311
33800,5201
34000,5172
34088,5152
34332,5138
33780,5101
33915,5088
34059,5076
34101,5073
33973,5066
33958,5041
34275,5035
34295,5032
34203,5018
34266,5011
33902,5006
33896,4981
34313,4978
34379,4972
33825,4964
33929,4963
34175,4962
33756,4959
33971,4955
34091,4950
33884,4949
34075,4949
33758,4945
34253,4940
33861,4935
34116,4928
33892,4922
33738,4918
33918,4915
34143,4913
34068,4911
34007,4911
34333,4911
34329,4909
34396,4907
33846,4906
34090,4901
33867,4887
33909,4886
34307,4881
34020,4881
34278,4880
34104,4880
34338,4877
33886,4876
34156,4874
34346,4872
34414,4872
33775,4871
34100,4868
33968,4865
33885,4862
32606,4855
34069,4851
34161,4847
33784,4846
34320,4843
34159,4843
33847,4841
34316,4838
33890,4837
33984,4831
33811,4828
33871,4822
33960,4818
34412,4818
34109,4817
34042,4817
34270,4816
34214,4810
34016,4809
33989,4808
33859,4797
34098,4790
33882,4788
34011,4782
34302,4781
34311,4781
34407,4780
34120,4778
33752,4773
34039,4761
33974,4753
34194,4750
34393,4747
34094,4744
34178,4743
33969,4743
33865,4742
34260,4742
34289,4737
34163,4737
34154,4735
34344,4731
33795,4723
34347,4721
34017,4718
33849,4718
33757,4717
34023,4716
34225,4709
33967,4709
34391,4708
33763,4708
34103,4707
33872,4703
34217,4703
34408,4702
34051,4702
34192,4701
34336,4699
34206,4699
34262,4698
34067,4697
33848,4696
34145,4695
34086,4690
34048,4689
33767,4689
33803,4689
33786,4686
34323,4685
33913,4684
34312,4683
33816,4682
34355,4680
33857,4680
34071,4679
34259,4678
33981,4677
34013,4676
34062,4676
33947,4675
33845,4674
34025,4673
34228,4672
34140,4671
34026,4670
34221,4670
34390,4669
34202,4667
34102,4667
33900,4666
34181,4661
34129,4660
34209,4658
33744,4657
33961,4657
33737,4656
34215,4655
34052,4655
33794,4653
33818,4653
33771,4650
34229,4645
34142,4642
33874,4639
33739,4638
34395,4638
34130,4637
33765,4636
34099,4636
34125,4636
34005,4634
34114,4632
34226,4632
33959,4632
34243,4630
30240,4622
33768,4622
33773,4621
34212,4621
34081,4617
34107,4617
33851,4612
33964,4611
33792,4609
33742,4609
34122,4606
34372,4605
34305,4604
34037,4603
34328,4602
33822,4602
34032,4600
34394,4597
34160,4597
34033,4596
33905,4595
34126,4591
34406,4590
33904,4590
34191,4586
34224,4583
34076,4582
34241,4575
34043,4570
34188,4570
33870,4569
34167,4567
34848,4565
34351,4562
35115,4560
34327,4558
34398,4557
34969,4555
34190,4554
33740,4553
33764,4549
33998,4546
33999,4544
34205,4543
33962,4543
34200,4540
33834,4538
34186,4536
33993,4535
34141,4533
34354,4532
33908,4529
34166,4526
34155,4523
34846,4521
34388,4519
34330,4519
34153,4518
34324,4512
34218,4509
34345,4505
33829,4505
33747,4505
33776,4503
33945,4500
34410,4498
33159,4496
33926,4491
34083,4491
33951,4489
33778,4489
33966,4489
34409,4487
34180,4486
34341,4482
34258,4481
34111,4481
34079,4477
34263,4471
34009,4471
33751,4471
33783,4463
34236,4462
33839,4461
33788,4457
34118,4456
33977,4453
34030,4452
33833,4451
34350,4451
34097,4450
33970,4449
34359,4447
34024,4447
34158,4445
33754,4444
34272,4439
33817,4438
35121,4438
33903,4437
34386,4435
34365,4434
34397,4431
33824,4431
35194,4430
34027,4429
34369,4428
33836,4426
34335,4422
33761,4420
34014,4416
33949,4415
33762,4415
33910,4413
34349,4412
33810,4410
33862,4408
33827,4407
34171,4406
34239,4406
33972,4404
33850,4404
34055,4401
34177,4399
33994,4393
34849,4393
33982,4392
34917,4390
33952,4385
34308,4381
33911,4378
34128,4377
33791,4374
33746,4373
34165,4372
34290,4370
34337,4367
34966,4367
33821,4364
34132,4359
33838,4357
33957,4352
34375,4349
33852,4349
35136,4347
34973,4344
33938,4343
33946,4343
34231,4338
34937,4337
34326,4337
33917,4336
34147,4335
34401,4333
34080,4333
34232,4330
33812,4330
34222,4324
34019,4322
34136,4321
34168,4319
33828,4319
33830,4318
34035,4317
34960,4311
35051,4310
34383,4308
33777,4306
33953,4305
34405,4299
34931,4298
33808,4294
33091,4293
35152,4291
34993,4291
34362,4287
34280,4287
34304,4282
33813,4281
34402,4273
33781,4272
34036,4270
34196,4268
34089,4266
33935,4263
33806,4261
33841,4259
34018,4257
35190,4254
35302,4247
33770,4247
35213,4246
34348,4245
35315,4243
35109,4242
33887,4237
34183,4237
33866,4235
31417,4235
33975,4234
34303,4234
34376,4230
34046,4230
34353,4224
34151,4222
34267,4220
33995,4220
34838,4219
34238,4217
34991,4213
35278,4213
34149,4211
34292,4209
34417,4204
33793,4202
35025,4202
34247,4201
34986,4197
35193,4192
30489,4189
35165,4189
34146,4184
35253,4184
34195,4182
35114,4182
30657,4180
33876,4178
34246,4175
34914,4170
34377,4166
34034,4165
35038,4162
33879,4160
34996,4159
34296,4158
33854,4156
34031,4153
35368,4151
33955,4149
34911,4148
35280,4148
34233,4147
34286,4146
34242,4145
35084,4144
35294,4144
35094,4143
35095,4142
33985,4140
35306,4137
34981,4134
35063,4133
33858,4132
34197,4132
35089,4131
35387,4127
33815,4127
34184,4127
35069,4124
34951,4124
35318,4124
34096,4122
34135,4120
35226,4114
34045,4113
35099,4113
35366,4111
33997,4110
34845,4110
35305,4105
35029,4104
29774,4101
35041,4100
34073,4099
29172,4099
35341,4098
35065,4097
33987,4096
34384,4095
35389,4092
34038,4092
34314,4091
34419,4091
35052,4090
34301,4090
35120,4088
35336,4088
34213,4087
35006,4086
35250,4086
34277,4086
33922,4086
34912,4085
31853,4084
33937,4084
35075,4081
35131,4080
29924,4078
35388,4077
35009,4075
33988,4073
35232,4072
34199,4071
35088,4066
34356,4066
35363,4063
34936,4061
34063,4061
35093,4058
34955,4051
34252,4050
34844,4049
35342,4049
35330,4048
35237,4048
35279,4047
34962,4043
33940,4042
34915,4041
35019,4039
35381,4038
35359,4037
33986,4034
34015,4033
33925,4033
34235,4031
35021,4029
35017,4028
35060,4026
35096,4026
33907,4024
35290,4020
34995,4013
35293,4008
35371,4007
35077,4006
33290,4005
34999,4004
34271,4003
35085,4002
34939,4001
34137,3999
30692,3998
35373,3997
35171,3996
35157,3994
35329,3993
35347,3990
34413,3989
33912,3989
35151,3988
34133,3987
34950,3986
35303,3983
35064,3982
35155,3978
35107,3975
35154,3974
34863,3972
35127,3969
35072,3965
35086,3965
35030,3963
33819,3962
35335,3962
35081,3956
33809,3952
34938,3952
35369,3951
33983,3950
33889,3950
34112,3950
34927,3949
35233,3948
35230,3946
33920,3945
35104,3945
35147,3944
34374,3944
34418,3943
35142,3943
35215,3941
35296,3941
35355,3940
34919,3939
35228,3939
34010,3939
35291,3937
35354,3935
35277,3935
35214,3935
35374,3934
35160,3933
34958,3930
27495,3928
35054,3926
35221,3926
35184,3922
34207,3922
35031,3921
35312,3917
35106,3917
33843,3916
35042,3915
35033,3915
35076,3913
32807,3911
34078,3910
35317,3907
35263,3907
34963,3905
35039,3904
33916,3903
34404,3901
34131,3899
35334,3898
34283,3894
35267,3894
35178,3891
33805,3891
34971,3890
33748,3889
34317,3886
33931,3885
32115,3884
35320,3884
35337,3883
35206,3882
34989,3882
35378,3881
33796,3881
34299,3879
31235,3876
30322,3875
34322,3871
33069,3870
33856,3869
35344,3867
33814,3867
35289,3867
35067,3866
30088,3862
35149,3859
32042,3858
34368,3857
35364,3856
35307,3856
35111,3856
35262,3855
33798,3854
30326,3854
34820,3853
35145,3853
35298,3853
35058,3852
34234,3852
33934,3851
34006,3851
34012,3850
35167,3849
35098,3849
35288,3848
35240,3848
33799,3847
32124,3846
35384,3845
35066,3845
34378,3844
35271,3843
31820,3841
35130,3841
34954,3836
35153,3835
34315,3834
34987,3832
34249,3827
35391,3826
33891,3825
30053,3825
33863,3823
35074,3822
34210,3822
35270,3821
33881,3821
35159,3820
29992,3820
34940,3819
34994,3818
34373,3816
34920,3816
35016,3815
35222,3815
34245,3813
35124,3813
35133,3809
35380,3805
35356,3804
35091,3801
35208,3800
30081,3800
35338,3799
34108,3799
34361,3798
34964,3798
30637,3797
34029,3797
32007,3797
34943,3795
35117,3794
30009,3793
35219,3792
30265,3791
34972,3791
31239,3790
34967,3789
32301,3788
32223,3788
30264,3787
35011,3787
35050,3786
35236,3786
35125,3785
35078,3784
29793,3783
34382,3782
34935,3782
35116,3780
35246,3779
35328,3778
35471,3778
35257,3778
34918,3778
35164,3778
34002,3777
35274,3773
32541,3773
29764,3773
35323,3772
33979,3770
33835,3766
30251,3766
35244,3766
35161,3766
35275,3765
35203,3764
35073,3764
30474,3764
35139,3764
34204,3763
34916,3762
34028,3761
